event_id,time,magnitude,depth_km,latitude,longitude,quality
2014p240753,2014-03-31T01:53:19.667114Z,4.55,13.145,-39.967038,176.53494,1
2013p542958,2013-07-20T21:28:21.147620Z,4.56,15.723,-41.62738082,174.3502242,1
2015p278423,2015-04-14T00:24:09.659649Z,4.56,9.629,-37.92257397,178.3544071,1
2014p753812,2014-10-06T21:51:08.633838Z,4.57,12.005,-40.42421016,176.810069,1
2014p915909,2014-12-05T21:16:47.820408Z,4.57,27.383,-40.69263546,175.8774551,1
2017p260291,2017-04-07T07:23:23.803522Z,4.58,10.071,-41.98227692,173.8672028,1
2016p871629,2016-11-18T12:03:56.860852Z,4.60,5.000,-41.99420547,173.588913,1
2016p864842,2016-11-15T23:47:51.338994Z,4.60,9.629,-41.80837631,174.0157318,1
2366369,2005-02-17T21:31:10.175000Z,4.60,27.903,-39.90409,174.60245,1
3021098,2008-12-26T19:49:59.627000Z,4.60,52.144,-40.55422,174.86711,1
3205715,2009-12-08T22:09:25.355000Z,4.60,48.911,-40.56196,174.85353,1
3361067,2010-08-24T22:17:36.813000Z,4.60,29.914,-40.10675,174.89383,1
2019p248841,2019-04-03T01:42:43.082882Z,4.61,13.396,-39.20317841,178.092804,1
2014p398473,2014-05-28T10:26:37.448544Z,4.61,17.246,-40.306915,176.58679,1
2018p354699,2018-05-12T05:43:45.711461Z,4.64,10.422,-42.28655243,173.8335266,1
2016p867529,2016-11-16T23:39:41.454980Z,4.65,12.826,-41.70462418,174.3034058,1
2013p432496,2013-06-10T00:34:14.182633Z,4.66,22.029,-39.14355087,177.406601,1
2013p544317,2013-07-21T09:32:13.313442Z,4.66,9.922,-41.64297954,174.3062643,1
2012p798736,2012-10-22T12:46:44.418718Z,4.67,12.910,-38.25863753,178.1807589,1
2013p739681,2013-10-01T16:22:32.953294Z,4.67,21.641,-41.54050206,174.3953163,1
2016p969664,2016-12-24T18:37:22.245801Z,4.68,15.078,-41.63691268,174.2701219,1
2017p861155,2017-11-15T15:03:33.433026Z,4.68,10.973,-41.56174088,174.3071899,1
2013p538215,2013-07-19T03:21:15.034641Z,4.69,14.961,-41.51515363,174.4267382,1
2013p128381,2013-02-17T12:01:29.473847Z,4.69,22.930,-41.77196607,173.883587,1
2016p858603,2016-11-13T16:23:46.146006Z,4.70,10.021,-41.97473526,174.0400238,1
3474473,2011-03-06T03:43:33.682000Z,4.70,19.744,-42.34114,173.86292,1
2017p346659,2017-05-09T06:19:58.362606Z,4.70,31.020,-37.78767014,177.5926819,1
