event_id,exception
2016p858725,'NoneType' object is not subscriptable
2016p858742,'NoneType' object is not subscriptable
2016p858744,'NoneType' object is not subscriptable
2016p858788,'NoneType' object has no attribute 'origins'
2016p858803,'NoneType' object has no attribute 'origins'
2016p858814,'NoneType' object is not subscriptable
2016p858815,'NoneType' object has no attribute 'origins'
2016p858824,'NoneType' object has no attribute 'origins'
2016p858828,'NoneType' object has no attribute 'origins'
2016p858848,'NoneType' object has no attribute 'origins'
2016p858876,'NoneType' object has no attribute 'origins'
2016p858894,'NoneType' object is not subscriptable
2016p858895,'NoneType' object has no attribute 'origins'
2016p858910,'NoneType' object is not subscriptable
2016p858913,'NoneType' object has no attribute 'origins'
2016p858954,'NoneType' object is not subscriptable
2016p858957,'NoneType' object is not subscriptable
2016p858968,'NoneType' object is not subscriptable
2016p859023,'NoneType' object is not subscriptable
2016p859027,'NoneType' object has no attribute 'origins'
2016p859036,'NoneType' object has no attribute 'origins'
2016p859048,'NoneType' object is not subscriptable
2016p859051,'NoneType' object has no attribute 'origins'
2016p859060,'NoneType' object has no attribute 'origins'
2016p859091,'NoneType' object has no attribute 'origins'
2016p859229,'NoneType' object has no attribute 'origins'
2016p859262,'NoneType' object has no attribute 'origins'
2016p859263,'NoneType' object is not subscriptable
2016p859336,'NoneType' object has no attribute 'origins'
2016p859377,'NoneType' object is not subscriptable
2016p859378,'NoneType' object has no attribute 'origins'
2016p859379,'NoneType' object is not subscriptable
2016p859439,'NoneType' object has no attribute 'origins'
2016p859449,'NoneType' object is not subscriptable
2016p859523,'NoneType' object is not subscriptable
2016p859561,'NoneType' object is not subscriptable
2016p859569,'NoneType' object is not subscriptable
2016p859622,'NoneType' object is not subscriptable
2016p859625,'NoneType' object has no attribute 'origins'
2016p859628,'NoneType' object has no attribute 'origins'
2016p859872,'NoneType' object has no attribute 'origins'
2016p859919,'NoneType' object is not subscriptable
2016p859920,'NoneType' object has no attribute 'origins'
2016p859929,'NoneType' object has no attribute 'origins'
2016p860053,'NoneType' object has no attribute 'origins'
2016p860234,'NoneType' object is not subscriptable
2016p860592,'NoneType' object has no attribute 'origins'
2016p860725,'NoneType' object has no attribute 'origins'
2016p860749,'NoneType' object is not subscriptable
2016p860816,'NoneType' object has no attribute 'origins'
2016p860963,'NoneType' object has no attribute 'origins'
2016p861017,'NoneType' object is not subscriptable
2016p861018,'NoneType' object has no attribute 'origins'
2016p861190,'NoneType' object has no attribute 'origins'
2016p861251,'NoneType' object has no attribute 'origins'
2016p861596,'NoneType' object has no attribute 'origins'
2016p862356,'NoneType' object has no attribute 'origins'
2016p862430,'NoneType' object is not subscriptable
2016p862855,'NoneType' object has no attribute 'origins'
2016p862971,'NoneType' object is not subscriptable
2016p862973,'NoneType' object has no attribute 'origins'
2016p863142,'NoneType' object has no attribute 'origins'
2016p863723,'NoneType' object has no attribute 'origins'
2016p863743,'NoneType' object has no attribute 'origins'
2016p864224,'NoneType' object has no attribute 'origins'
2016p864309,'NoneType' object has no attribute 'origins'
2016p865557,'NoneType' object has no attribute 'origins'
2016p865907,'NoneType' object has no attribute 'origins'
2016p866561,'NoneType' object has no attribute 'origins'
2016p867237,'NoneType' object is not subscriptable
2016p867239,'NoneType' object has no attribute 'origins'
2016p867480,'NoneType' object has no attribute 'origins'
2016p867529,'NoneType' object has no attribute 'origins'
2016p868025,'NoneType' object has no attribute 'origins'
2016p869983,'NoneType' object has no attribute 'origins'
2016p871629,'NoneType' object has no attribute 'origins'
2016p871791,'NoneType' object has no attribute 'origins'
2016p872063,'NoneType' object has no attribute 'origins'
2016p875317,'NoneType' object has no attribute 'origins'
2016p876450,'NoneType' object has no attribute 'origins'
2016p878954,'NoneType' object has no attribute 'origins'
2016p880389,'NoneType' object has no attribute 'origins'
2016p881666,'NoneType' object is not subscriptable
2016p881727,'NoneType' object has no attribute 'origins'
2016p881756,'NoneType' object has no attribute 'origins'
2016p882187,'NoneType' object has no attribute 'origins'
2016p883896,'NoneType' object has no attribute 'origins'
2016p890807,'NoneType' object has no attribute 'origins'
2016p892721,'NoneType' object is not subscriptable
2016p894629,'NoneType' object is not subscriptable
2016p895554,'NoneType' object is not subscriptable
2016p895574,'NoneType' object has no attribute 'origins'
2016p897263,'NoneType' object has no attribute 'origins'
2016p921247,'NoneType' object has no attribute 'origins'
2016p922917,'NoneType' object has no attribute 'origins'
2016p935725,'NoneType' object has no attribute 'origins'
2016p959735,'NoneType' object has no attribute 'origins'
2016p962803,'NoneType' object has no attribute 'origins'
2016p969664,'NoneType' object has no attribute 'origins'
2016p976987,'NoneType' object has no attribute 'origins'
2016p981419,'NoneType' object has no attribute 'origins'
2017p003805,'NoneType' object has no attribute 'origins'
2017p014499,'NoneType' object has no attribute 'origins'
2017p016396,'NoneType' object has no attribute 'origins'
2017p027063,'NoneType' object has no attribute 'origins'
2017p059122,'NoneType' object has no attribute 'origins'
2017p060166,'NoneType' object has no attribute 'origins'
2017p093072,'NoneType' object is not subscriptable
2017p099067,'NoneType' object has no attribute 'origins'
2017p135277,'NoneType' object has no attribute 'origins'
2017p159158,'NoneType' object has no attribute 'origins'
2017p161294,'NoneType' object has no attribute 'origins'
2017p164065,'NoneType' object has no attribute 'origins'
2017p168407,'NoneType' object has no attribute 'origins'
2017p176921,'NoneType' object has no attribute 'origins'
2017p181223,'NoneType' object has no attribute 'origins'
2017p184544,'NoneType' object has no attribute 'origins'
2017p187158,'NoneType' object has no attribute 'origins'
2017p190343,'NoneType' object has no attribute 'origins'
2017p207675,'NoneType' object has no attribute 'origins'
2017p214862,'NoneType' object is not subscriptable
2017p219803,'NoneType' object has no attribute 'origins'
2017p257850,'NoneType' object has no attribute 'origins'
2017p260291,'NoneType' object has no attribute 'origins'
2017p266099,'NoneType' object has no attribute 'origins'
2017p287111,'NoneType' object has no attribute 'origins'
2017p293719,'NoneType' object has no attribute 'origins'
2017p338727,'NoneType' object has no attribute 'origins'
2017p381325,'NoneType' object has no attribute 'origins'
2017p708412,'NoneType' object has no attribute 'origins'
2017p852531,'NoneType' object has no attribute 'origins'
2017p861155,'NoneType' object has no attribute 'origins'
2017p887092,'NoneType' object has no attribute 'origins'
2017p919876,'NoneType' object has no attribute 'origins'
2017p952681,'NoneType' object has no attribute 'origins'
2018p012973,'NoneType' object has no attribute 'origins'
2018p021170,'NoneType' object has no attribute 'origins'
2018p130600,'NoneType' object has no attribute 'origins'
2018p177486,'NoneType' object has no attribute 'origins'
2018p254466,'NoneType' object has no attribute 'origins'
2018p266243,'NoneType' object has no attribute 'origins'
2352843,'NoneType' object is not subscriptable
2366369,'NoneType' object has no attribute 'origins'
2399117,'NoneType' object has no attribute 'origins'
2404281,'NoneType' object has no attribute 'origins'
2421974,'NoneType' object has no attribute 'origins'
2450882,'NoneType' object is not subscriptable
2498995,'NoneType' object has no attribute 'origins'
2533983,'NoneType' object is not subscriptable
2580443,'NoneType' object is not subscriptable
2593170,'NoneType' object has no attribute 'origins'
2625245,'NoneType' object has no attribute 'origins'
2653553,'NoneType' object has no attribute 'origins'
2654849,'NoneType' object has no attribute 'origins'
2663349,'NoneType' object has no attribute 'origins'
2684211,'NoneType' object has no attribute 'origins'
2800955,'NoneType' object has no attribute 'origins'
2818146,'NoneType' object has no attribute 'origins'
2843195,'NoneType' object has no attribute 'origins'
2980080,'NoneType' object is not subscriptable
3016538,'NoneType' object has no attribute 'origins'
3166074,'NoneType' object is not subscriptable
3185771,'NoneType' object has no attribute 'origins'
3290097,'NoneType' object has no attribute 'origins'
3369346,'NoneType' object has no attribute 'origins'
3474473,'NoneType' object has no attribute 'origins'
3540318,'NoneType' object has no attribute 'origins'
3572138,'NoneType' object is not subscriptable
3592054,'NoneType' object is not subscriptable
3612538,'NoneType' object is not subscriptable
3612558,'NoneType' object is not subscriptable
3612695,'NoneType' object is not subscriptable
3612962,'NoneType' object is not subscriptable
3613938,'NoneType' object is not subscriptable
3617676,'NoneType' object has no attribute 'origins'
3621514,'NoneType' object has no attribute 'origins'
3630748,'NoneType' object is not subscriptable
3695126,'NoneType' object is not subscriptable
